,amy_label_label,amy_label_prob
0,0,0.4096732295463754
2,0,0.423290745082999
3,1,0.3740352356622515
4,1,0.3251226313560079
8,0,0.3742010406800173
11,0,0.3733955171648013
15,0,0.3510593237905142
17,0,0.2793830238458964
19,0,0.3958910469431564
21,0,0.3309185841463599
26,0,0.3462390148048246
28,1,0.4247723144393254
29,1,0.3591267293879325
30,1,0.560241728132552
31,1,0.3641171922263463
37,1,0.3737036027839831
39,0,0.3518267546231997
40,0,0.3471784372327637
41,0,0.3240615713973106
45,0,0.3088829144080659
47,0,0.3629643542911651
48,0,0.3417227865299052
49,0,0.3878432668613908
53,1,0.3952890685318795
54,0,0.3534540234523403
55,1,0.3336418648972787
58,1,0.3904573388237833
60,1,0.3238801697303685
61,1,0.3452938907839638
62,1,0.5134464258776561
63,0,0.3165230536949436
67,0,0.3477788093569524
68,0,0.3499142308744242
69,0,0.2948507604931667
70,0,0.3559649726866141
71,1,0.4218730051404303
72,0,0.3269013857567716
73,0,0.2879095470132576
74,1,0.3570457538940041
75,0,0.2861372956672364
76,0,0.3336697468472578
77,1,0.335755477487871
78,0,0.3770252263181896
80,0,0.3139872719451443
81,1,0.5025914675404651
82,0,0.2916175769982428
83,0,0.3302872206307434
85,0,0.3025599985584465
86,0,0.331831511612714
87,0,0.3281938619872787
88,1,0.3480876711338765
89,0,0.3254357522449019
90,0,0.3139519406548027
91,0,0.3374412296437117
92,0,0.4076479311725523
95,0,0.2896119906521003
96,0,0.4184483352739022
99,1,0.4677943644239834
100,0,0.3013222900228529
101,0,0.3338568934459576
103,1,0.1760138520160316
104,0,0.2988294604144753
106,0,0.2750620197606037
107,0,0.3569026963004688
109,0,0.3354046264212861
110,0,0.3103896340190418
111,0,0.2811606580952638
112,1,0.3861028409235211
113,1,0.303079756952214
114,1,0.4331413574134527
115,1,0.3349175639488845
116,0,0.2828837334037603
118,1,0.3419785492278903
122,0,0.3147964748452114
123,0,0.379193490464116
125,1,0.3239880435640576
126,0,0.2602473292499331
127,0,0.2797737219433013
128,0,0.2967223119357335
129,0,0.3396097425078231
130,0,0.3346373223400465
131,0,0.3679374919137049
132,0,0.2832362588977616
133,0,0.3257687188535036
135,1,0.3404032783521478
137,0,0.3370899371947713
141,1,0.3167247603961902
142,0,0.316761498040009
143,0,0.3017685983679888
144,1,0.2734944187323038
145,0,0.324807888911797
146,0,0.322321178951427
147,0,0.3572532162571842
148,0,0.2896917548890965
149,0,0.3402197950861214
150,1,0.3196804051844646
151,1,0.3630202553645242
152,1,0.3678513322630571
155,0,0.3089547845076996
156,0,0.344693279418462
157,1,0.3308713928306253
158,0,0.3060072113121728
159,0,0.3311297726210871
160,0,0.4681874487428406
161,1,0.5457695923453152
162,0,0.324815732016335
163,0,0.3097120171566356
164,0,0.291802009803117
165,0,0.3390320635701403
166,0,0.3181269461231336
167,0,0.2806102136091417
168,0,0.3342559607133254
170,1,0.2916073327424017
171,0,0.3746995266328863
173,0,0.3373464610422858
176,1,0.3692156814594619
177,1,0.3934026561004776
179,0,0.3494100218339024
180,0,0.3915699696843773
182,0,0.3830223619177298
183,0,0.3326957362376601
187,0,0.2885152559739589
188,0,0.3216582739123665
189,0,0.4649701354793857
190,0,0.3005156921761092
191,1,0.4081508545286844
192,1,0.3700022847490634
194,0,0.3549805299247364
195,1,0.2967399247133577
196,1,0.397348155708987
199,0,0.3574178009893751
200,1,0.40874154839048
201,0,0.3391142392349734
202,0,0.2660720611579594
203,0,0.4310071130448887
205,1,0.4293866083383798
206,1,0.4440552317220224
207,1,0.3347886319642694
208,0,0.3209009976759061
209,0,0.3731250087320065
211,1,0.4493908646445106
212,1,0.3961912420577738
213,0,0.2463797896322174
215,0,0.3098526144809975
216,0,0.3652087999298785
217,0,0.4242762875123094
218,1,0.3376391238462778
219,1,0.3375846332896081
221,0,0.2950464034722279
223,0,0.3025172363619488
224,0,0.2731978716457987
226,0,0.3245952214017713
227,1,0.3680940867593134
228,0,0.4352336625796477
229,1,0.3821087935296416
230,1,0.4334114757151067
231,1,0.4708033732915501
232,0,0.3785606051870474
233,0,0.2918015171027923
236,0,0.3120851365870891
239,0,0.4673318797071432
240,0,0.3560273950175568
242,0,0.3609295347565947
243,1,0.3275844779527028
244,1,0.3696148960762302
245,0,0.2831810836572439
246,0,0.3285842391976218
248,1,0.2693037389704609
250,0,0.3527166536984063
251,0,0.3260233790097468
252,0,0.3286233741216679
255,0,0.2928794307372417
256,1,0.3561187962597327
259,0,0.2824088303066563
260,1,0.3468996612637083
262,1,0.3526989088161237
263,0,0.3772356940722858
264,0,0.2876368735108933
265,0,0.3401068814235844
267,0,0.3053631444444188
272,1,0.4142574710098532
273,0,0.3997000835737781
274,0,0.4551061326282512
276,0,0.3432008017994472
277,0,0.2824831470100798
278,0,0.3357834470632239
289,0,0.4232020481409844
290,0,0.2788799696753204
309,0,0.4761946312296622
316,0,0.3683316937943444
321,0,0.2557742054352258
326,0,0.3434942978353886
327,0,0.3651945396407297
332,0,0.2881240800983655
333,0,0.3542574279056958
345,0,0.3801739265800974
350,1,0.3909203525840329
351,0,0.3302600085916855
354,0,0.3399298950507894
356,0,0.3316985242033006
358,1,0.4100135785600302
363,0,0.3341694865897869
364,0,0.3014466843319583
366,0,0.3805604178465489
367,0,0.3012000325527884
369,0,0.3574565703531148
375,1,0.4118860490451886
385,0,0.3208302363272083
387,0,0.2787848520029489
391,0,0.3328082773781871
392,0,0.3568640630853339
393,0,0.3319333317139005
396,0,0.333041254716351
398,0,0.2968446187754253
399,0,0.343808998181192
401,0,0.4310763425979734
402,0,0.3372880500116695
403,1,0.3517060624898867
404,1,0.3292656524514645
405,0,0.2968239171159685
406,0,0.3612881697555683
407,1,0.3017599578767529
409,1,0.3841721688141803
410,0,0.3720604805364469
411,1,0.3050000537544733
413,1,0.3554816115669564
414,0,0.3543964091971546
415,1,0.3119798063179087
416,0,0.3810635664079691
419,1,0.2807769630525554
420,0,0.4317319345915682
421,0,0.3937696921435896
422,0,0.3280133717569551
423,0,0.3122528452483297
424,0,0.3606796820167841
425,0,0.2828934066476148
432,0,0.3474398038424695
436,1,0.4009731365892671
437,0,0.3226282022690273
443,0,0.3695020226349383
446,0,0.3401804070259826
447,0,0.4567250649373345
448,0,0.3750099441786093
449,0,0.3442187657746355
450,1,0.4504696289742975
451,0,0.3301133152057903
452,1,0.3369192586471502
453,0,0.40801102547774
454,0,0.3417094859531763
455,1,0.3302208800935468
456,0,0.3765784582488863
457,0,0.3190132268229789
458,0,0.3188384960925022
460,0,0.3291280277368292
461,1,0.3951282525833092
463,0,0.3237563415341931
464,0,0.3483040045356708
465,0,0.366760819236548
467,1,0.464602301058221
468,0,0.3539849912934138
469,1,0.3521895973158276
470,0,0.3353604108130776
471,0,0.3738697950901981
472,0,0.3293610697886698
473,1,0.3792858767793748
474,0,0.3400160285469051
476,0,0.3994134008122213
477,0,0.3289786428107823
479,0,0.2827727956217974
480,0,0.3810154329799551
482,0,0.3508948734559636
483,0,0.3574749700260395
484,1,0.3615790416946479
485,0,0.3204214158212378
486,0,0.2852341818829828
487,0,0.3210152099282605
488,1,0.4650759498111368
