nCount_RNA,nFeature_RNA,SORT,nCount_SCT,nFeature_SCT,nCount_Exon,nFeature_Exon,sex_ontology_term_id,sex,Label_0,Label_1,Label_2,Label_3
14459.0,4591,2,10734.0,4523,3113.0,1952,0,0,0,0,1,0
12322.0,3876,2,10561.0,3872,2113.0,1357,1,1,1,0,0,0
1940.0,1291,0,4009.0,1399,1015.0,705,0,0,0,0,0,1
2729.0,1724,2,4178.0,1748,1052.0,791,0,0,0,0,1,0
6499.0,3112,2,8830.0,3160,1747.0,1282,0,0,0,0,1,0
15259.0,5585,0,4407.0,2456,9929.0,3982,0,0,0,0,0,1
10084.0,3959,0,5382.0,3138,4940.0,2406,0,0,0,0,0,1
15868.0,5073,2,10835.0,4901,4486.0,2497,0,0,0,0,1,0
3286.0,2050,2,4233.0,2054,1595.0,1152,0,0,0,0,1,0
3053.0,1828,0,3773.0,1827,1258.0,873,0,0,0,0,0,1
3728.0,1928,2,8953.0,2376,825.0,642,1,1,0,1,0,0
9550.0,3536,2,9621.0,3536,2034.0,1255,1,1,0,1,0,0
4685.0,2494,2,4770.0,2494,1987.0,1331,0,0,0,0,1,0
3977.0,2115,1,4281.0,2115,1970.0,1126,1,1,0,0,0,1
6938.0,2874,2,9004.0,2881,1226.0,871,1,1,0,1,0,0
3080.0,1755,2,8640.0,2381,839.0,646,1,1,1,0,0,0
6664.0,3303,0,5330.0,3266,3611.0,2107,0,0,0,0,0,1
3940.0,1878,2,9084.0,2225,875.0,599,1,1,1,0,0,0
4051.0,2231,0,4156.0,2231,1936.0,1192,0,0,0,0,0,1
8353.0,3763,0,5515.0,3520,4625.0,2561,0,0,0,0,0,1
4788.0,2602,2,4833.0,2602,1871.0,1366,0,0,0,0,1,0
5073.0,2607,1,4980.0,2607,2897.0,1688,0,0,0,0,0,1
8050.0,3696,1,5592.0,3585,4442.0,2294,0,0,0,0,0,1
9048.0,3724,2,5930.0,3541,2863.0,1629,1,1,0,0,1,0
3429.0,2021,2,4301.0,2021,1314.0,959,0,0,0,0,1,0
6316.0,3210,2,8751.0,3259,2527.0,1725,0,0,0,0,1,0
8454.0,3639,0,5437.0,3349,4589.0,2365,1,1,0,0,0,1
2761.0,1723,1,3940.0,1736,1419.0,961,0,0,0,0,0,1
6141.0,3089,2,5664.0,3089,1976.0,1466,1,1,0,0,1,0
21373.0,5224,2,10769.0,4357,3543.0,2178,1,1,1,0,0,0
6308.0,3058,0,5312.0,3042,3922.0,2203,0,0,0,0,0,1
11027.0,4251,2,6118.0,3689,3710.0,1954,1,1,0,0,1,0
9345.0,3757,2,9491.0,3757,3067.0,1938,1,1,0,1,0,0
5927.0,2905,2,5503.0,2905,2670.0,1459,1,1,0,0,1,0
3244.0,2016,0,3761.0,2016,1700.0,1151,0,0,0,0,0,1
10356.0,3992,2,5994.0,3559,4079.0,2180,0,0,0,0,1,0
4895.0,2576,0,4799.0,2575,2677.0,1654,0,0,0,0,0,1
9481.0,4056,0,5503.0,3493,5372.0,2668,0,0,0,0,0,1
2547.0,1572,2,4249.0,1604,1151.0,821,0,0,0,0,1,0
14541.0,4614,1,5067.0,2552,4790.0,2087,0,0,0,0,0,1
2810.0,1672,1,3856.0,1680,926.0,705,1,1,0,0,0,1
7520.0,3277,2,8989.0,3277,1700.0,1174,0,0,0,0,1,0
7159.0,3204,0,5298.0,3146,3519.0,1836,0,0,0,0,0,1
12951.0,4005,2,10608.0,3994,2198.0,1340,1,1,0,1,0,0
8358.0,3477,2,9163.0,3477,2239.0,1369,1,1,0,1,0,0
11544.0,4451,0,5208.0,3072,6030.0,2864,0,0,0,0,0,1
11689.0,4066,2,10554.0,4066,2300.0,1390,1,1,0,1,0,0
5741.0,2947,2,5472.0,2947,3350.0,1928,0,0,1,0,0,0
13542.0,4210,2,10636.0,4178,2998.0,1866,1,1,1,0,0,0
7426.0,3441,2,5843.0,3408,4477.0,2309,0,0,1,0,0,0
12496.0,4557,2,6031.0,3598,8412.0,3422,0,0,1,0,0,0
4846.0,2661,0,4766.0,2661,2416.0,1589,0,0,0,0,0,1
12738.0,4273,2,10661.0,4263,2628.0,1544,1,1,0,1,0,0
1569.0,1107,0,3670.0,1295,923.0,673,0,0,0,0,0,1
1759.0,1174,1,4093.0,1336,1019.0,707,0,0,0,0,0,1
3981.0,2031,2,4483.0,2031,1329.0,836,0,0,1,0,0,0
5240.0,2660,1,5068.0,2660,2664.0,1618,1,1,0,0,0,1
5240.0,2782,0,4988.0,2782,3086.0,1869,0,0,0,0,0,1
8778.0,3261,2,5629.0,3109,3799.0,1677,0,0,1,0,0,0
5617.0,3065,2,5428.0,3064,2730.0,1778,0,0,0,0,1,0
3584.0,2025,0,3914.0,2025,1920.0,1212,0,0,0,0,0,1
1194.0,886,0,3227.0,1173,732.0,564,1,1,0,0,0,1
8338.0,3909,1,5697.0,3766,4644.0,2574,0,0,0,0,0,1
7602.0,3328,2,5775.0,3288,4164.0,2135,0,0,1,0,0,0
6390.0,2874,2,5593.0,2872,2264.0,1191,1,1,0,0,1,0
4514.0,2325,2,8977.0,2558,1300.0,935,1,1,0,1,0,0
2742.0,1785,2,8360.0,2523,1044.0,808,0,0,0,0,1,0
16387.0,4561,2,10712.0,4337,2573.0,1619,1,1,0,1,0,0
5643.0,2862,1,5244.0,2862,3196.0,1733,0,0,0,0,0,1
12166.0,4681,2,10740.0,4678,4595.0,2693,0,0,0,0,1,0
18974.0,5217,2,10864.0,4713,4416.0,2533,1,1,0,1,0,0
2547.0,1475,0,3676.0,1505,1846.0,1065,0,0,0,0,0,1
5549.0,2452,1,5160.0,2452,1839.0,1033,0,0,0,0,0,1
4042.0,2226,2,8947.0,2548,1165.0,806,0,0,0,0,1,0
3049.0,1862,2,4168.0,1865,1214.0,928,0,0,0,0,1,0
4009.0,2351,1,4234.0,2351,2103.0,1441,0,0,0,0,0,1
11627.0,3965,2,5729.0,3245,5272.0,2250,0,0,1,0,0,0
3878.0,2245,1,4176.0,2245,2180.0,1434,0,0,0,0,0,1
16410.0,5188,2,10863.0,4965,5640.0,2922,0,0,0,0,1,0
8100.0,3823,1,5659.0,3722,4776.0,2566,0,0,0,0,0,1
13799.0,4355,2,10718.0,4307,2811.0,1799,1,1,1,0,0,0
2657.0,1689,2,4256.0,1739,1015.0,756,1,1,0,0,1,0
10929.0,4101,2,10390.0,4100,3021.0,1936,0,0,0,0,1,0
8245.0,3489,2,9101.0,3489,2760.0,1793,1,1,0,1,0,0
836.0,610,1,3371.0,1114,466.0,333,1,1,0,0,0,1
15451.0,4459,2,10646.0,4291,3084.0,1831,1,1,1,0,0,0
3814.0,2075,1,4192.0,2075,1636.0,1048,1,1,0,0,0,1
8668.0,3307,2,9271.0,3307,1570.0,1038,1,1,1,0,0,0
5240.0,2721,1,5075.0,2721,2982.0,1745,0,0,0,0,0,1
2163.0,1382,1,4392.0,1467,1128.0,730,1,1,0,0,0,1
2093.0,1490,2,4331.0,1614,1126.0,892,1,1,0,0,1,0
6382.0,3106,2,5681.0,3105,2153.0,1409,1,1,0,0,1,0
13139.0,4585,2,10754.0,4574,3862.0,2328,0,0,0,0,1,0
5653.0,2918,2,5443.0,2918,2329.0,1564,0,0,0,0,1,0
5506.0,2815,0,5082.0,2815,2914.0,1778,0,0,0,0,0,1
750.0,579,2,4054.0,1234,271.0,207,1,1,0,0,1,0
9746.0,3806,2,9753.0,3806,3261.0,1904,1,1,0,1,0,0
3937.0,2048,2,8964.0,2383,972.0,689,1,1,1,0,0,0
3308.0,1922,0,3799.0,1921,2232.0,1405,1,1,0,0,0,1
4753.0,2392,2,4813.0,2391,1558.0,1013,1,1,0,0,1,0
9415.0,3574,2,9536.0,3574,2571.0,1605,1,1,1,0,0,0
5915.0,3046,0,5235.0,3043,3151.0,1914,0,0,0,0,0,1
4605.0,2303,2,8979.0,2522,1055.0,760,1,1,0,1,0,0
5692.0,2809,2,5406.0,2809,3634.0,1981,0,0,1,0,0,0
19361.0,5361,2,10856.0,4759,4035.0,2339,1,1,0,1,0,0
6304.0,2953,2,5662.0,2953,2201.0,1439,0,0,0,0,1,0
7740.0,3635,2,8912.0,3636,4281.0,2431,1,1,0,1,0,0
1944.0,1321,1,4117.0,1436,1248.0,901,0,0,0,0,0,1
3582.0,2140,2,4275.0,2142,2575.0,1630,1,1,0,0,1,0
17665.0,4983,2,10774.0,4632,3452.0,2074,0,0,0,0,1,0
3537.0,1925,2,4460.0,1926,1460.0,889,1,1,0,0,1,0
8274.0,3822,1,5676.0,3673,5075.0,2618,0,0,0,0,0,1
4612.0,2507,1,4624.0,2507,3058.0,1736,0,0,0,0,0,1
1284.0,890,1,3496.0,1162,519.0,403,1,1,0,0,0,1
13706.0,5109,0,4714.0,2649,8787.0,3792,0,0,0,0,0,1
4355.0,2410,0,4369.0,2410,2423.0,1494,0,0,0,0,0,1
3570.0,1917,2,8893.0,2363,848.0,574,1,1,0,1,0,0
5163.0,2286,2,9037.0,2429,1078.0,761,1,1,0,1,0,0
3902.0,2120,0,4081.0,2120,1830.0,1113,1,1,0,0,0,1
4756.0,2690,1,4751.0,2690,2975.0,1874,1,1,0,0,0,1
9740.0,3755,2,9745.0,3755,2667.0,1756,1,1,0,1,0,0
4831.0,2692,2,8709.0,2892,3027.0,1892,1,1,0,1,0,0
8029.0,3377,2,5823.0,3311,3138.0,1731,0,0,0,0,1,0
8442.0,3650,0,5450.0,3361,4382.0,2326,0,0,0,0,0,1
15963.0,5252,1,4503.0,2397,6812.0,2817,0,0,0,0,0,1
5331.0,2649,1,5095.0,2649,2599.0,1516,0,0,0,0,0,1
7193.0,3270,2,5799.0,3253,2844.0,1597,1,1,0,0,1,0
7998.0,3777,1,5622.0,3664,4347.0,2434,0,0,0,0,0,1
3488.0,2077,1,4054.0,2077,1941.0,1256,0,0,0,0,0,1
6665.0,3151,2,8874.0,3170,2232.0,1554,0,0,0,0,1,0
1601.0,1062,0,3601.0,1228,870.0,595,0,0,0,0,0,1
4971.0,2756,1,4921.0,2756,3041.0,1857,0,0,0,0,0,1
7593.0,3479,1,5591.0,3412,3779.0,2116,0,0,0,0,0,1
3624.0,2114,2,4320.0,2115,1444.0,1071,0,0,0,0,1,0
2728.0,1734,0,3670.0,1744,1665.0,1134,1,1,0,0,0,1
3919.0,2087,2,8949.0,2432,1003.0,699,1,1,0,1,0,0
3355.0,1907,0,3856.0,1907,1489.0,952,1,1,0,0,0,1
4370.0,2328,2,4615.0,2328,1767.0,1134,0,0,0,0,1,0
12418.0,4504,2,10723.0,4502,4331.0,2459,0,0,0,0,1,0
3294.0,2025,2,4148.0,2035,2485.0,1634,1,1,0,0,1,0
7525.0,3486,1,5637.0,3423,4527.0,2397,0,0,0,0,0,1
4665.0,2446,2,4757.0,2446,1611.0,1156,0,0,0,0,1,0
5124.0,2716,1,5032.0,2716,3159.0,1903,0,0,0,0,0,1
4608.0,2427,0,4585.0,2427,2817.0,1642,1,1,0,0,0,1
6779.0,3084,2,8917.0,3098,2084.0,1451,0,0,0,0,1,0
10377.0,4043,1,5669.0,3434,5172.0,2448,0,0,0,0,0,1
2217.0,1446,2,4284.0,1538,775.0,627,0,0,0,0,1,0
4140.0,2164,2,4554.0,2164,1764.0,1147,0,0,0,0,1,0
11822.0,4348,1,5644.0,3273,4215.0,2268,0,0,0,0,0,1
4273.0,2309,0,4309.0,2308,2311.0,1415,1,1,0,0,0,1
3387.0,1908,2,4324.0,1915,1123.0,790,1,1,0,0,1,0
4974.0,2679,1,4918.0,2678,2340.0,1478,0,0,0,0,0,1
3644.0,2169,0,3913.0,2168,1987.0,1361,1,1,0,0,0,1
4917.0,2728,2,4925.0,2728,3104.0,1983,1,1,0,0,1,0
15787.0,4630,2,10784.0,4454,3451.0,2089,1,1,1,0,0,0
1577.0,1127,2,3986.0,1377,689.0,580,0,0,0,0,1,0
5795.0,2891,2,5496.0,2890,2223.0,1482,0,0,0,0,1,0
